facine3,renthog,renthog1,bage,homeowner,worker,young,sex,class,actreales,riquezanet,sv_year
5034.39523458335,20760,Middle,54-65,Homeowner,Worker,Not-Young,Women,worker,54100,57700,2002
28.4982732769829,19920,Low,75,Homeowner,Non-Worker,Not-Young,Women,inactive,120000,129000,2002
128.503379934446,36435,Middle,65-75,Homeowner,Worker,Not-Young,Man,retired,721213,1009696,2002
431.859882078366,35060,Middle,75,Homeowner,Worker,Not-Young,Women,retired,159000,342151,2002
4096.3162419411,27724.4,Middle,54-65,Homeowner,Worker,Not-Young,Man,retired,20000,-24152.4,2002
85.409113451894,16800,Low,65-75,Homeowner,Worker,Not-Young,Man,retired,202818.4,205535.8,2002
207.013219085439,8400,Low,45-54,Non-Owner,Worker,Not-Young,Women,worker,0,2000,2002
4393.2043945234,36816.6,Middle,35-44,Homeowner,Non-Worker,Not-Young,Women,inactive,160773.2,158730.2,2002
6342.01934120972,65508,Middle,0-34,Homeowner,Non-Worker,Young,Man,self-employed,339572,400873,2002
7046.58777126287,23641.8,Middle,0-34,Homeowner,Worker,Young,Man,worker,120000,106555,2002
6144.95425011522,19867.8,Low,35-44,Non-Owner,Worker,Not-Young,Man,worker,0,1802,2002
250.054923647487,51529.2,Middle,54-65,Homeowner,Worker,Not-Young,Man,retired,171239.8,196430.6,2002
2561.15411773324,7572,Low,54-65,Homeowner,Worker,Not-Young,Women,inactive,210354,216354,2002
9635.43965124641,23173.8,Middle,0-34,Homeowner,Worker,Young,Man,worker,108182,79334,2002
3316.28222701778,6048,Low,54-65,Homeowner,Worker,Not-Young,Women,inactive,48000,93700,2002
213.650739098711,23338.4,Middle,65-75,Homeowner,Worker,Not-Young,Man,retired,252000,296000,2002
3114.71819448847,8084.6,Low,75,Homeowner,Non-Worker,Not-Young,Women,inactive,47712.8,54071,2002
3641.92323412056,15342.4,Low,75,Homeowner,Non-Worker,Not-Young,Women,inactive,57334.4,60512.2,2002
5184.45509132513,12180,Low,35-44,Homeowner,Non-Worker,Not-Young,Man,self-employed,96000,121600,2002
3375.68689192394,25504.6,Middle,65-75,Homeowner,Non-Worker,Not-Young,Women,inactive,124718,125387.8,2002
5637.3654770957,39795.4,Middle,35-44,Homeowner,Worker,Not-Young,Man,worker,54091,58691,2002
5166.44831037157,53107.2,Middle,45-54,Non-Owner,Worker,Not-Young,Women,worker,0,-1841,2002
6471.55639517857,29114.6,Middle,35-44,Homeowner,Worker,Not-Young,Man,worker,48080,51085,2002
366.152898861543,39357,Middle,35-44,Homeowner,Worker,Not-Young,Women,inactive,210885.8,225703.4,2002
3493.42983629799,19602,Low,45-54,Homeowner,Worker,Not-Young,Man,worker,198000,199200,2002
189.167114719883,29014.4,Middle,65-75,Homeowner,Worker,Not-Young,Women,retired,108182,114782,2002
209.597815874961,49244.8,Middle,54-65,Homeowner,Worker,Not-Young,Man,retired,240940.314,399605.714,2002
185.51431372629,42974,Middle,45-54,Homeowner,Worker,Not-Young,Man,inactive,204000,402361,2002
6629.08030652114,21420,Middle,35-44,Homeowner,Worker,Not-Young,Women,inactive,16517.6,16617.6,2002
4617.51884131899,8400,Low,45-54,Homeowner,Worker,Not-Young,Women,inactive,79345.6,80298.6,2002
7577.20163682265,17650,Low,0-34,Non-Owner,Worker,Young,Man,worker,0,-480,2002
4245.66277179462,19000,Low,0-34,Homeowner,Worker,Young,Man,worker,24000,26600,2002
3009.04682984452,27200,Middle,35-44,Homeowner,Worker,Not-Young,Women,worker,118000,118600,2002
4969.87276253754,71621.4,Middle,35-44,Homeowner,Worker,Not-Young,Man,worker,134682.2,178820.2,2002
3895.11286726549,5705.8,Low,75,Non-Owner,Non-Worker,Not-Young,Women,retired,0,158.4,2002
2282.96612139287,6164,Low,75,Homeowner,Non-Worker,Not-Young,Man,retired,12000,42000,2002
29.4108422269261,156969.2,High,65-75,Non-Owner,Worker,Not-Young,Man,manager,360000,722097,2002
10401.1419239055,11200,Low,35-44,Homeowner,Non-Worker,Not-Young,Man,self-employed,204000,265000,2002
7059.81159892057,34071.8,Middle,45-54,Homeowner,Worker,Not-Young,Women,worker,25933.4,24441.2,2002
4701.67741727125,96726.6,High,54-65,Homeowner,Worker,Not-Young,Man,worker,201814.2,292014.2,2002
2933.75588820974,60100,Middle,54-65,Homeowner,Non-Worker,Not-Young,Women,inactive,270454,278078.4,2002
27.442649769633,13740,Low,65-75,Homeowner,Worker,Not-Young,Women,retired,162622,194859.6,2002
2521.41930793393,41665.2,Middle,65-75,Homeowner,Worker,Not-Young,Women,self-employed,251800,252800,2002
212.477871369805,19220,Low,65-75,Homeowner,Non-Worker,Not-Young,Man,retired,590500,712000,2002
93.0438002690268,96459,High,54-65,Homeowner,Non-Worker,Not-Young,Man,self-employed,1851116,3582523,2002
460.985753952747,0,Low,0-34,Non-Owner,Worker,Young,Man,worker,0,-3000,2002
3723.69921544275,4200,Low,75,Homeowner,Non-Worker,Not-Young,Women,inactive,141174.2,143930.8,2002
3855.47725130419,35000,Middle,35-44,Homeowner,Non-Worker,Not-Young,Man,self-employed,260935,325915,2002
4848.79793811249,88090,High,45-54,Homeowner,Worker,Not-Young,Man,self-employed,474000,619003,2002
4993.14549901724,11760,Low,35-44,Homeowner,Worker,Not-Young,Man,worker,118880.4,121630.4,2002
3524.22096679447,41167.4,Middle,35-44,Non-Owner,Worker,Not-Young,Man,self-employed,0,11600,2002
3960.17716716362,20400,Middle,35-44,Non-Owner,Worker,Not-Young,Women,worker,6000,6300,2002
3747.01226073157,8834.4,Low,54-65,Homeowner,Worker,Not-Young,Women,inactive,78131,88300.6,2002
4293.92010753348,60545.6,Middle,35-44,Non-Owner,Worker,Not-Young,Man,worker,0,-4257,2002
4895.58772299968,15296,Low,54-65,Homeowner,Worker,Not-Young,Man,retired,57095,69923,2002
4750.5319555025,11515,Low,65-75,Non-Owner,Worker,Not-Young,Man,retired,0,18072,2002
854.741547293989,138880,High,54-65,Homeowner,Worker,Not-Young,Man,worker,1973000,2155600,2002
323.260348436268,85300,High,54-65,Homeowner,Worker,Not-Young,Man,worker,360000,902403,2002
2786.69027288004,22593.4,Middle,75,Homeowner,Non-Worker,Not-Young,Man,retired,45294.4,48568,2002
397.417816102163,28800,Middle,54-65,Homeowner,Worker,Not-Young,Man,retired,180000,205121,2002
118.817909127894,42000,Middle,45-54,Homeowner,Worker,Not-Young,Man,worker,120000,182392,2002
3722.61199207472,18979.2,Low,75,Homeowner,Worker,Not-Young,Man,retired,250366.4,376080.6,2002
3895.11286726549,8867.6,Low,75,Homeowner,Non-Worker,Not-Young,Women,inactive,120000,124365.4,2002
7061.35109474708,54509.6,Middle,45-54,Homeowner,Worker,Not-Young,Women,manager,90152,90162,2002
2282.96612139287,17402,Low,65-75,Homeowner,Worker,Not-Young,Man,retired,210000,477000,2002
4753.32732933815,9387.2,Low,75,Homeowner,Non-Worker,Not-Young,Women,retired,50428.8,52134.4,2002
282.796939857404,95749.4,High,45-54,Homeowner,Worker,Not-Young,Man,worker,192323,260236,2002
8324.26021294244,8889.6,Low,45-54,Non-Owner,Worker,Not-Young,Man,worker,0,-20,2002
6147.89997725989,17350,Low,45-54,Homeowner,Worker,Not-Young,Man,worker,44289,48877,2002
583.162714750741,21618.2,Middle,0-34,Non-Owner,Non-Worker,Young,Man,capitalist,0,5000,2002
111.473532485007,135613.2,High,54-65,Homeowner,Worker,Not-Young,Man,self-employed,2370000,3152065.8,2002
2282.96612139287,13100,Low,65-75,Homeowner,Worker,Not-Young,Man,retired,150000,156000,2002
2660.79662975445,29022.4,Middle,54-65,Homeowner,Non-Worker,Not-Young,Women,inactive,180000,262808,2002
364.807790681029,23245.8,Middle,75,Homeowner,Worker,Not-Young,Man,retired,660000,663000,2002
82.3598694937933,36400,Middle,65-75,Homeowner,Non-Worker,Not-Young,Man,retired,340000,362000,2002
3761.92775455758,48468,Middle,65-75,Non-Owner,Worker,Not-Young,Man,inactive,0,300,2002
175.01179425831,12421,Low,65-75,Homeowner,Worker,Not-Young,Man,retired,15000,15090,2002
5933.15803216267,45506.6,Middle,45-54,Homeowner,Worker,Not-Young,Man,worker,90000,91800,2002
311.464401238606,12000,Low,45-54,Non-Owner,Worker,Not-Young,Women,worker,0,-4737,2002
195.986017198182,980,Low,75,Non-Owner,Worker,Not-Young,Women,retired,0,6000,2002
3614.43843362503,8385.8,Low,75,Non-Owner,Worker,Not-Young,Man,retired,0,2259.2,2002
2372.98965829858,32301.8,Middle,54-65,Homeowner,Non-Worker,Not-Young,Women,self-employed,434776.8,585057.2,2002
3755.86321993566,44000,Middle,54-65,Homeowner,Non-Worker,Not-Young,Women,inactive,90000,96034,2002
111.220397815208,58733.2,Middle,45-54,Homeowner,Non-Worker,Not-Young,Women,self-employed,945600,1468200,2002
4786.06837608784,46519,Middle,35-44,Homeowner,Worker,Not-Young,Man,worker,138234,144549.6,2002
2537.67930744053,21009,Middle,45-54,Homeowner,Worker,Not-Young,Man,worker,180000,211500,2002
258.031246592092,65391.4,Middle,65-75,Homeowner,Non-Worker,Not-Young,Man,self-employed,499152,1384170,2002
218.658666068107,68207,Middle,54-65,Non-Owner,Worker,Not-Young,Man,worker,281034.644,520761.644,2002
2282.96612139287,5480,Low,75,Homeowner,Non-Worker,Not-Young,Man,retired,48017.8,54017.8,2002
6059.2204755539,28500.6,Middle,35-44,Homeowner,Non-Worker,Not-Young,Women,inactive,130245,131447,2002
4164.55691519126,52642,Middle,45-54,Homeowner,Worker,Not-Young,Man,worker,250581.16,278306.16,2002
124.271789073081,84357.4,High,54-65,Homeowner,Worker,Not-Young,Man,worker,622177,874670.2,2002
364.807790681029,11439.8,Low,65-75,Homeowner,Non-Worker,Not-Young,Man,retired,90000,1e+05,2002
3839.30888468778,98435.4,High,45-54,Homeowner,Non-Worker,Not-Young,Women,inactive,300500,308621.8,2002
323.658763914097,5600,Low,65-75,Non-Owner,Worker,Not-Young,Women,retired,0,90,2002
2662.08338707274,22453.6,Middle,75,Homeowner,Worker,Not-Young,Women,inactive,61500,62350,2002
509.015155314005,129612.6,High,54-65,Homeowner,Non-Worker,Not-Young,Man,capitalist,503046.6,1440266.8,2002
4695.01305437028,84499.8,High,35-44,Homeowner,Worker,Not-Young,Man,worker,95657.6,113152.2,2002
27.442649769633,7820,Low,75,Homeowner,Non-Worker,Not-Young,Women,inactive,120000,126000,2002
485.933354953191,7600,Low,35-44,Homeowner,Worker,Not-Young,Man,worker,600607,603607,2002
4777.99381646441,38062.4,Middle,65-75,Non-Owner,Worker,Not-Young,Man,retired,0,6180,2002
2876.12886994978,5904,Low,54-65,Homeowner,Non-Worker,Not-Young,Women,inactive,143866.4,144797.6,2002
3675.43671572354,21043.8,Middle,65-75,Homeowner,Worker,Not-Young,Man,retired,132000,144000,2002
5161.60642277438,114989.8,High,65-75,Homeowner,Non-Worker,Not-Young,Women,retired,516000,568313.6,2002
27.442649769633,9826,Low,75,Homeowner,Non-Worker,Not-Young,Women,inactive,240400,254137.8,2002
207.757366780475,165579,High,54-65,Homeowner,Worker,Not-Young,Man,worker,210000,313272.2,2002
135.635346875225,64700,Middle,45-54,Homeowner,Non-Worker,Not-Young,Women,inactive,612000,802916.2,2002
168.994060488234,20111,Middle,75,Homeowner,Non-Worker,Not-Young,Women,inactive,555838.6,756880.4,2002
111.299814049634,49135.4,Middle,65-75,Non-Owner,Worker,Not-Young,Man,retired,36000,30400,2002
419.09926061649,25100,Middle,54-65,Homeowner,Worker,Not-Young,Women,worker,120000,136000,2002
319.061465778111,114798,High,54-65,Homeowner,Worker,Not-Young,Man,manager,348587,390094.2,2002
4616.92037278321,6791.2,Low,75,Non-Owner,Non-Worker,Not-Young,Women,inactive,0,9720,2002
6452.31441809853,21521.6,Middle,45-54,Homeowner,Worker,Not-Young,Women,worker,90000,96000,2002
1019.58531091736,6911,Low,65-75,Homeowner,Non-Worker,Not-Young,Women,inactive,485611.8,534107.6,2002
4992.88198264155,94953.8,High,35-44,Homeowner,Worker,Not-Young,Man,manager,194406,200977.8,2002
4770.71046513291,5628,Low,65-75,Homeowner,Worker,Not-Young,Women,inactive,34000,40951.6,2002
311.464401238606,32850,Middle,45-54,Homeowner,Worker,Not-Young,Women,manager,546750,580445.2,2002
115.441795952707,217805.2,High,54-65,Homeowner,Non-Worker,Not-Young,Man,capitalist,1620000,283078434.4,2002
3558.07547962193,35156,Middle,54-65,Non-Owner,Worker,Not-Young,Man,manager,90000,131409.8,2002
5867.49153760157,53678.6,Middle,35-44,Homeowner,Worker,Not-Young,Man,worker,220576.2,232300.4,2002
255.603220417988,27700.8,Middle,54-65,Homeowner,Non-Worker,Not-Young,Women,inactive,120000,155338,2002
112.32103641996,10916,Low,65-75,Non-Owner,Worker,Not-Young,Women,retired,0,1283,2002
16.3662279596189,89239.4,High,35-44,Homeowner,Worker,Not-Young,Man,worker,246000,249000,2002
3931.23746684468,22860,Middle,35-44,Homeowner,Worker,Not-Young,Man,worker,107223,108215.6,2002
528.082596816293,49868.6,Middle,45-54,Homeowner,Non-Worker,Not-Young,Man,self-employed,330000,535556.6,2002
11168.6909453171,24586.6,Middle,35-44,Non-Owner,Worker,Not-Young,Man,worker,0,900,2002
264.694455175131,19487.4,Low,75,Homeowner,Non-Worker,Not-Young,Man,retired,105152,110748.8,2002
3040.71266486024,12782.8,Low,65-75,Homeowner,Worker,Not-Young,Man,retired,30000,33200,2002
3895.11286726549,14547.2,Low,65-75,Homeowner,Worker,Not-Young,Women,retired,95147.4,104147.4,2002
2288.9224284841,9670,Low,75,Homeowner,Non-Worker,Not-Young,Women,inactive,42070,42069,2002
3173.7825367813,4377,Low,54-65,Homeowner,Worker,Not-Young,Man,retired,300506,301106,2002
4378.50890342351,27364.8,Middle,54-65,Homeowner,Worker,Not-Young,Man,retired,60000,71590.6,2002
164.204456613642,94403.8,High,54-65,Homeowner,Non-Worker,Not-Young,Man,capitalist,293398.4,356728.6,2002
2487.03956577949,19153.4,Low,54-65,Homeowner,Worker,Not-Young,Man,self-employed,150000,168336,2002
148.291886603663,62414.2,Middle,54-65,Homeowner,Worker,Not-Young,Man,retired,6e+05,606978.8,2002
4111.29738249433,53343,Middle,35-44,Homeowner,Worker,Not-Young,Man,manager,205000,214000,2002
3548.7312588083,105010.8,High,45-54,Homeowner,Worker,Not-Young,Women,worker,174647.8,226871,2002
4710.57400478892,16197,Low,54-65,Non-Owner,Worker,Not-Young,Man,worker,0,240,2002
99.7186391217507,41868.6,Middle,54-65,Homeowner,Worker,Not-Young,Man,retired,156000,160077.6,2002
397.417816102163,32276,Middle,54-65,Homeowner,Worker,Not-Young,Man,worker,120000,122540.6,2002
282.887616009072,52364.6,Middle,75,Homeowner,Worker,Not-Young,Man,retired,1212000,1251000,2002
6446.90191923955,24900,Middle,0-34,Homeowner,Worker,Young,Man,worker,1000,3300,2002
143.430824366958,71888,Middle,45-54,Non-Owner,Worker,Not-Young,Man,self-employed,0,61666,2002
5724.58224363242,9034.6,Low,65-75,Non-Owner,Non-Worker,Not-Young,Man,retired,0,661,2002
197.824708093352,19373,Low,54-65,Homeowner,Worker,Not-Young,Man,inactive,148090,150793,2002
243.295064365048,7680,Low,75,Homeowner,Non-Worker,Not-Young,Women,inactive,78000,102300,2002
3566.03936178455,6000,Low,54-65,Non-Owner,Non-Worker,Not-Young,Women,self-employed,0,71689.4,2002
212.477871369805,22247.6,Middle,65-75,Homeowner,Worker,Not-Young,Man,retired,198000,232000,2002
9512.58258792594,9055,Low,0-34,Homeowner,Worker,Young,Man,worker,38945,48409,2002
231.423340846596,9820,Low,0-34,Non-Owner,Worker,Young,Man,worker,15000,17600,2002
2668.48904062303,12527,Low,54-65,Homeowner,Worker,Not-Young,Man,retired,110000,105000,2002
76.7277988883267,53424,Middle,54-65,Homeowner,Worker,Not-Young,Man,retired,72121,84141,2002
5710.17378082521,11876.4,Low,75,Homeowner,Worker,Not-Young,Man,retired,72121,74168,2002
4534.55953700282,58003.4,Middle,35-44,Non-Owner,Worker,Not-Young,Man,worker,0,7334.8,2002
3895.11286726549,4000,Low,75,Homeowner,Worker,Not-Young,Women,retired,50000,50500,2002
7568.90056592164,32547.6,Middle,0-34,Homeowner,Worker,Young,Women,worker,90000,82200,2002
4616.92037278321,9026.8,Low,65-75,Homeowner,Worker,Not-Young,Women,inactive,109497.4,113337.4,2002
3510.71434478028,11100,Low,65-75,Homeowner,Worker,Not-Young,Women,retired,48000,53529.2,2002
161.815023494681,11920,Low,75,Homeowner,Non-Worker,Not-Young,Women,inactive,138161.6,153361.6,2002
3510.71434478028,9232,Low,65-75,Homeowner,Non-Worker,Not-Young,Man,retired,126500,127700,2002
4454.27541764975,25276.4,Middle,65-75,Homeowner,Worker,Not-Young,Women,inactive,90000,91892,2002
2847.13719538889,6380,Low,65-75,Non-Owner,Non-Worker,Not-Young,Women,inactive,0,4950,2002
6143.15537987145,10421,Low,0-34,Non-Owner,Worker,Young,Man,worker,0,1453.4,2002
2172.22752805861,10852,Low,75,Homeowner,Worker,Not-Young,Man,retired,150000,174700,2002
116.765308365604,78991.8,Middle,54-65,Homeowner,Worker,Not-Young,Women,worker,3e+05,347199.2,2002
4638.99190660608,42174,Middle,45-54,Homeowner,Non-Worker,Not-Young,Women,worker,20400,29400,2002
364.807790681029,16130,Low,75,Homeowner,Worker,Not-Young,Man,retired,282000,293444,2002
98.107286952593,97489.6,High,54-65,Homeowner,Non-Worker,Not-Young,Man,capitalist,558000,2340276.19,2002
209.538029041726,49204,Middle,75,Homeowner,Non-Worker,Not-Young,Man,retired,564242,942797.2,2002
128.503379934446,7644,Low,75,Homeowner,Non-Worker,Not-Young,Man,retired,262127.2,268672.2,2002
353.918653971244,66093.6,Middle,54-65,Homeowner,Worker,Not-Young,Man,manager,192000,116796,2002
6720.50207750539,54028.4,Middle,0-34,Homeowner,Worker,Young,Women,worker,120954,188128.2,2002
312.244411983358,25892,Middle,0-34,Homeowner,Worker,Young,Man,worker,253890,289570.4,2002
4616.92037278321,5280,Low,75,Homeowner,Worker,Not-Young,Women,retired,72800,74001.2,2002
5977.30391657957,10582.4,Low,75,Non-Owner,Worker,Not-Young,Man,retired,0,6010,2002
6384.33433371483,40526.4,Middle,35-44,Non-Owner,Worker,Not-Young,Man,manager,0,-1531.8,2002
3653.67179825361,21760,Middle,54-65,Homeowner,Worker,Not-Young,Man,retired,167251,153422,2002
183.59035435515,71924,Middle,54-65,Homeowner,Non-Worker,Not-Young,Man,self-employed,345611.8,414311.8,2002
2921.52088218468,36653,Middle,45-54,Homeowner,Worker,Not-Young,Man,manager,192323,294193,2002
111.299814049634,14000,Low,65-75,Homeowner,Worker,Not-Young,Man,retired,180000,195000,2002
588.466315788583,57896.4,Middle,54-65,Homeowner,Worker,Not-Young,Man,retired,384000,399005,2002
2831.50741062386,17689.8,Low,75,Non-Owner,Worker,Not-Young,Man,retired,0,5005,2002
4852.61973436091,15879.6,Low,45-54,Non-Owner,Non-Worker,Not-Young,Women,inactive,0,499.2,2002
3778.37647841353,14786,Low,65-75,Homeowner,Worker,Not-Young,Women,retired,132222,144242,2002
5724.58224363242,6132,Low,65-75,Homeowner,Worker,Not-Young,Man,retired,41517.8,42255.2,2002
4387.32447737788,26635,Middle,54-65,Homeowner,Non-Worker,Not-Young,Man,self-employed,180300,241120,2002
331.019428052915,28920,Middle,75,Homeowner,Non-Worker,Not-Young,Man,retired,90000,95592.8,2002
4364.20999900987,39676,Middle,45-54,Homeowner,Worker,Not-Young,Man,worker,117197,120768.4,2002
4336.148820072,27877.8,Middle,65-75,Homeowner,Non-Worker,Not-Young,Man,retired,33150,31250,2002
3804.84376215848,52813,Middle,54-65,Homeowner,Worker,Not-Young,Man,retired,387953,404175,2002
4291.21909674474,20094.8,Middle,65-75,Homeowner,Worker,Not-Young,Man,retired,67962.8,74604.8,2002
206.480337911512,9000,Low,0-34,Non-Owner,Worker,Young,Man,worker,0,1000,2002
5484.2448028636,18020,Low,0-34,Homeowner,Worker,Young,Man,worker,78500,90500,2002
498.739451203649,50484,Middle,54-65,Homeowner,Non-Worker,Not-Young,Man,self-employed,569758.4,728983.6,2002
15.7756166182793,183988.4,High,75,Homeowner,Non-Worker,Not-Young,Man,inactive,2e+06,9790144.6,2002
2922.24174771044,40853.4,Middle,75,Homeowner,Non-Worker,Not-Young,Man,retired,120202,127169.8,2002
5307.99286239707,39998.2,Middle,0-34,Homeowner,Worker,Young,Man,worker,80000,86000,2002
3922.39788153437,23360.4,Middle,54-65,Homeowner,Non-Worker,Not-Young,Man,retired,150000,328205.356,2002
5245.72855733811,28125.8,Middle,45-54,Homeowner,Worker,Not-Young,Man,worker,240000,241500,2002
20.8674393964595,25241,Middle,65-75,Homeowner,Non-Worker,Not-Young,Man,retired,272141,823006,2002
2662.08338707274,18304,Low,65-75,Homeowner,Worker,Not-Young,Man,retired,210302.8,215233.2,2002
3510.71434478028,9072,Low,65-75,Homeowner,Worker,Not-Young,Women,retired,18000,19278.8,2002
6013.05456137289,16646,Low,35-44,Homeowner,Worker,Not-Young,Women,manager,42151,49151,2002
22.1440240488275,23019.4,Middle,65-75,Homeowner,Non-Worker,Not-Young,Man,retired,150605.8,174808.2,2002
154.110305207372,62675.4,Middle,0-34,Homeowner,Worker,Young,Man,worker,579374,651623.2,2002
279.428434536895,9055,Low,65-75,Homeowner,Non-Worker,Not-Young,Women,inactive,186000,216600,2002
5790.48202469872,8639.4,Low,54-65,Homeowner,Non-Worker,Not-Young,Man,retired,114011.2,118151.8,2002
6590.42486706456,63727.6,Middle,54-65,Homeowner,Worker,Not-Young,Man,retired,62077,67871,2002
4743.38003912174,9671.2,Low,75,Homeowner,Non-Worker,Not-Young,Women,retired,42000,44544.4,2002
2873.08409765267,17000,Low,75,Homeowner,Worker,Not-Young,Man,retired,123000,125700,2002
31.7332816092167,328706.6,High,45-54,Homeowner,Non-Worker,Not-Young,Man,self-employed,797677,3970035.6,2002
567.92704978194,26292.8,Middle,0-34,Non-Owner,Worker,Young,Women,worker,0,800,2002
128.503379934446,11720,Low,75,Homeowner,Worker,Not-Young,Man,retired,156626,189758,2002
4616.92037278321,8970.8,Low,75,Homeowner,Non-Worker,Not-Young,Women,inactive,25000,28665.6,2002
3987.59160222827,45586.2,Middle,54-65,Homeowner,Worker,Not-Young,Man,worker,356300,458400,2002
27.442649769633,28090.4,Middle,75,Non-Owner,Non-Worker,Not-Young,Women,inactive,501768.6,577940,2002
482.281609977073,66753,Middle,35-44,Homeowner,Non-Worker,Not-Young,Man,capitalist,310606,456697.2,2002
147.835467579171,30100,Middle,65-75,Homeowner,Worker,Not-Young,Man,retired,90000,362319.2,2002
4623.75902904721,14000,Low,35-44,Homeowner,Worker,Not-Young,Women,inactive,217859.6,221905.4,2002
18.7463913429109,26967.2,Middle,54-65,Homeowner,Non-Worker,Not-Young,Man,capitalist,480000,990559,2002
112.909485280514,12628,Low,75,Homeowner,Worker,Not-Young,Man,retired,150253,174903,2002
5077.24513721749,87814.4,High,45-54,Homeowner,Worker,Not-Young,Man,worker,240000,278101,2002
299.383218134287,29400,Middle,45-54,Homeowner,Worker,Not-Young,Man,worker,6e+05,621235.4,2002
3985.62552648116,13649.8,Low,75,Homeowner,Worker,Not-Young,Man,retired,43508.2,48235.4,2002
559.640820972219,35300,Middle,35-44,Homeowner,Worker,Not-Young,Women,worker,54000,72000,2002
186.796839513715,17000,Low,65-75,Homeowner,Worker,Not-Young,Man,retired,179318.6,179318.6,2002
2487.03956577949,120000,High,54-65,Homeowner,Non-Worker,Not-Young,Man,self-employed,269312.2,472984.2,2002
5765.55799901644,50630,Middle,54-65,Homeowner,Non-Worker,Not-Young,Man,self-employed,102172,114292,2002
4421.34388723228,25209,Middle,65-75,Homeowner,Worker,Not-Young,Man,retired,54000,55100,2002
2094.52936963853,48369,Middle,65-75,Homeowner,Non-Worker,Not-Young,Women,inactive,175258.8,185758.8,2002
281.223651336374,22632.2,Middle,65-75,Homeowner,Non-Worker,Not-Young,Women,inactive,171616,259716,2002
182.557071340384,21580,Middle,45-54,Homeowner,Non-Worker,Not-Young,Man,self-employed,240404,366406,2002
5319.51932083767,22346,Middle,54-65,Homeowner,Worker,Not-Young,Women,inactive,72121,66416,2002
4692.16805258475,16106.2,Low,65-75,Homeowner,Worker,Not-Young,Man,retired,18793,21180.4,2002
241.411165359478,72882.4,Middle,65-75,Homeowner,Worker,Not-Young,Man,retired,629204,806312.8,2002
3948.31369793916,25755.6,Middle,54-65,Non-Owner,Worker,Not-Young,Women,worker,0,2323.8,2002
148.032900513799,62059.8,Middle,45-54,Homeowner,Worker,Not-Young,Man,worker,79700,158182.2,2002
279.428434536895,6273,Low,75,Non-Owner,Non-Worker,Not-Young,Women,inactive,0,9000,2002
178.139362259557,81487,High,54-65,Homeowner,Non-Worker,Not-Young,Man,retired,214312.8,294895.2,2002
2961.8506521333,22420,Middle,75,Homeowner,Worker,Not-Young,Man,retired,362350,372550,2002
4756.32050156634,25520,Middle,54-65,Homeowner,Worker,Not-Young,Man,worker,85000,86803,2002
121.348843233853,10386,Low,65-75,Homeowner,Non-Worker,Not-Young,Man,retired,84337,150920,2002
3510.71434478028,20956.2,Middle,65-75,Homeowner,Worker,Not-Young,Man,retired,54000,55049.6,2002
317.181551959726,11100,Low,65-75,Homeowner,Non-Worker,Not-Young,Women,retired,141321.8,142980.8,2002
6771.23507268779,29672.2,Middle,0-34,Homeowner,Worker,Young,Man,worker,24813,25523,2002
375.588609129994,70915.6,Middle,45-54,Homeowner,Non-Worker,Not-Young,Man,self-employed,132222,340172.2,2002
